geoid,geoid2,TotalPopulation,Ozone,PM25,DieselPM,DrinkingWater,Lead,Pesticides,ToxRelease,Traffic,CleanupSites,GroundwaterThreats,HazWaste,ImpWaterBodies,SolidWaste,Asthma,LowBirthWeight,CardiovascularDisease,Education,LinguisticIsolation,Poverty,Unemployment,HousingBurden,Children10years,Pop1064years,Elderly64years,Hispanic,White,AfricanAmerican,NativeAmerican,AsianAmerican,OtherMultiple,well_count,median_rent
1400000US06037101110,6037101110,4283,.06464682,11.30213066,.047101665,726.638249,60.56636098,0,754.9809977,566.5033447,0,0,.12,0,0,30.87,3.36,16.86,15.2,11.4,32.5,7.3,32.5,12.65,70.37,16.97,27.74,61.08,.44,.07,7.8,2.87,0,1391
1400000US06037101122,6037101122,3405,.06591477,11.09143346,.027322662,696.1617993,38.04666953,0,738.9523315,165.7435974,0,0,.25,0,0,26.78,4.25,13.25,6.1,3.4,13.1,5.4,14.8,5.37,74.65000000000001,19.97,4.32,84.64,2.17,.44,6.46,1.97,0,1924
1400000US06037101210,6037101210,6347,.06464682,11.32755877,.074966462,726.638249,52.48957543,0,769.9643351,687.2973764,0,0,.035,0,0,30.87,4.2,16.86,16.1,20.7,54.3,5.2,31.5,14.16,76,9.83,41.22,47.05,3.12,0,7.66,.96,0,1141
1400000US06037101220,6037101220,3702,.06464682,11.2582362,.057660282,726.638249,68.57978326,0,784.3176677,821.6798096,0,.3,.1,0,0,30.87,4.41,16.86,19.9,23.3,42.6,10.1,33.9,8.1,75.8,16.1,36.84,48.95,2.35,0,9.210000000000001,2.65,0,1123
1400000US06037101300,6037101300,3884,.06350576,11.01194549,.07177834,726.638249,50.74645749,0,830.4456584,1468.619195,0,6.3,.1,6,0,22.91,3.57,11.89,10.2,10.4,17,4.3,18.6,7.8,68,24.2,7.65,80.48,5.28,0,4.99,1.6,0,2131
1400000US06037101400,6037101400,3458,.06350576,11.1423019,.128728383,682.0774884,56.20905483,0,855.710673,2583.428727,0,2.25,.125,6,0,24.28,5.31,11.1,9,12.5,27.1,6.1,17.8,7.84,73.08,19.09,17.09,65.67,.26,.38,11.83,4.77,0,1190
1400000US06037102103,6037102103,1763,.06350576,11.29546441,.093114447,726.638249,46.94439341,0,1193.003336,2493.635495,4,.75,.34,6,.6,74.78,4.17,15.13,5.2,7.4,9.800000000000001,8.6,18.1,7.77,77.14,15.09,20.14,62.73,1.42,0,12.71,3.01,0,2095
1400000US06037102104,6037102104,3721,.06350576,11.46432553,.253413663,787.7243657,39.90688126,0,1892.319987,3124.637798,40.7,18.15,.63,6,0,32.58,2.9,8.039999999999999,10.2,13.3,28.4,9.9,19.7,9.029999999999999,71.22,19.75,13.76,69.01000000000001,1.96,0,9.640000000000001,5.62,0,2552
1400000US06037102105,6037102105,1905,.06236471,11.56388147,.601033477,776.1394461,72.7064123,0,1878.58667,2648.113091,40.7,47.6,.845,6,0,31.7,5.6,7.37,20.2,NA,40.8,5.8,41.9,5.14,84.62,10.24,67.34999999999999,22.41,.73,1.26,6.72,1.52,0,1328
1400000US06037102107,6037102107,4349,.06473142,11.14147063,.036909886,726.638249,50.19260012,.004239908,875.7163289,1594.259505,4,.3,.955,6,8.8,43.21,6.78,9.5,10.3,1.2,27.9,5.9,22.8,6.28,77.54000000000001,16.19,27.48,59.9,1.59,.14,9.15,1.75,0,1163
1400000US06037103101,6037103101,2428,.06591477,11.24459686,.12495024,726.638249,69.17611737,0,706.9123332,140.8095466,0,0,.175,0,0,34.3,4,11.63,13.3,9.1,20.3,4.2,22.3,12.89,71.95,15.16,16.31,73.84999999999999,.74,0,6.75,2.35,0,1484
1400000US06037103102,6037103102,4734,.06464682,11.23485105,.051435964,726.638249,58.49017765,0,738.5986531999999,687.9059962,0,0,.235,0,0,37.69,6.02,12.43,19,22.9,23,5.5,14.2,6.84,75.98,17.17,27.93,56,0,0,12.23,3.84,0,1509
1400000US06037103200,6037103200,6349,.06591477,11.18869203,.149223048,726.638249,58.7708972,0,707.3280029,1962.602278,2,0,.1,0,8.25,46.53,5.16,11.42,12.6,6.5,26.6,4.6,17.9,9.67,67.3,23.03,27.58,60.88,1.65,0,6.88,3.01,3,954
1400000US06037103300,6037103300,3781,.06591477,11.14759703,.064627874,726.638249,45.45548161,.002852775,774.3503214,899.7361175,2,.3,.105,0,9.9,41.71,6.13,10.8,2.9,.6,9.6,4.1,13.3,9.92,71.04000000000001,19.04,10.66,76.62,.03,1.19,7.17,4.34,0,2136
1400000US06037103400,6037103400,6416,.06464682,11.14626422,.072732952,726.638249,60.13570765,0,751.5356649,2484.218077,.5,0,.125,0,.8,38.54,3.81,11.99,11.7,3.5,19,4.9,18.6,8.539999999999999,72.43000000000001,19.03,24.52,54.11,2.4,0,16.16,2.81,0,1452
1400000US06037104103,6037104103,3431,.06718273,11.24668191,.279472531,726.638249,50.29006388,.463264003,684.7270101,2019.065361,5,.2,0,0,1.7,63.98,4.9,13.45,26.4,NA,26.9,.4,22.5,10.03,77.18000000000001,12.8,69.98,11.05,12.56,0,5.8,.61,1,1392
1400000US06037104105,6037104105,6054,.06718273,11.13779234,.145163519,726.638249,49.06614199,0,691.3850098,1567.364184,3,1,.125,0,.9,77.15000000000001,5.14,12.71,37,14.8,42.9,6.8,23.9,11.12,79.48,9.4,74.03,5.7,4.59,.51,11.31,3.85,0,766
1400000US06037104108,6037104108,6001,.06718273,11.19241127,.28624584,726.638249,54.89477156,.090638298,705.8619792,1564.364074,5.4,3,.06,0,.8,54.48,4.91,9.52,39.2,11.6,52.4,7,19.2,14.81,75.34,9.85,83.02,5.45,7.17,0,3.6,.77,0,1298
1400000US06037104124,6037104124,3875,.06718273,10.91960855,.083307673,681.4521372,44.32282375,.159421906,674.7916666,2415.424348,.4,.5,0,0,1.65,63.98,4.45,13.45,18.4,17.9,22.9,5,14,13.03,72.8,14.17,44.59,31.59,12.67,.57,8.34,2.25,5,1490
1400000US06037104201,6037104201,4569,.06718273,11.16285509,.33795344,726.638249,93.70503028,0,636.9950053,1319.63451,8.2,3.8,.715,0,1.4,58.65,5.13,9.52,42.9,12.2,51.8,5.2,35.3,13.9,75.38,10.72,89.31999999999999,1.23,8.779999999999999,.68,0,0,0,1935
1400000US06037104203,6037104203,5441,.06718273,11.16595012,.183232475,726.638249,74.0786042,0,677.2599894,1482.035379,4,1.8,.15,0,.5,81.70999999999999,4.11,13.36,44.6,22.2,48.7,5.1,28.7,14.1,78.51000000000001,7.39,88.53,1.51,8.199999999999999,0,1.25,.51,0,1239
1400000US06037104204,6037104204,3679,.06718273,10.9466938,.245832237,680.8720338000001,62.99048209,.221436021,638.5376587,1528.996943,4,2,.065,0,7,48.36,5.52,9.31,39.1,13.5,48.5,6.5,26.7,8.94,80.43000000000001,10.63,78.01000000000001,9.76,3.78,0,6.69,1.77,6,1078
1400000US06037104310,6037104310,4962,.06718273,11.20136625,.243183436,674.0341539999999,88.83475185,0,687.6923319,2365.659717,70.75,61,1.72,0,2,63.82,5.74,10.29,45.5,17.7,41.1,4.5,28.5,18.46,72.61,8.93,95.61,1.37,1.93,.16,.36,.5600000000000001,1,1514
1400000US06037104320,6037104320,5292,.06718273,11.16595012,.213882257,726.638249,91.37995257,0,697.4389953,1794.970385,59.8,39.5,.95,0,.2,81.70999999999999,6.71,13.36,46.3,23.1,32.3,1.5,28.1,12.15,75.59999999999999,12.24,89.15000000000001,2.63,4.61,.04,1.1,2.48,2,1000
1400000US06037104401,6037104401,3270,.06718273,11.28546472,.367222422,726.638249,96.23638142999999,0,706.0473124,2260.072102,54.75,38.25,.65,0,.2,81.70999999999999,5.9,13.36,44.8,24.2,43.9,5.9,29.4,16.02,72.51000000000001,11.47,96.48,1.99,.43,0,1.1,0,1,1675
